time,heat_load
2.241e+05 sec,3796.668605
2.244e+05 sec,3780.816161
2.247e+05 sec,2701.813572
2.25e+05 sec,3771.982451
2.253e+05 sec,3789.920399
2.256e+05 sec,3740.880977
2.259e+05 sec,3726.537598
2.262e+05 sec,3786.066746
2.265e+05 sec,3754.436507
2.268e+05 sec,3734.501229
2.271e+05 sec,3767.343175
2.274e+05 sec,3719.831098
2.277e+05 sec,3687.004431
2.28e+05 sec,3713.691455
2.283e+05 sec,3728.020899
2.286e+05 sec,3718.706038
2.289e+05 sec,3715.72613
2.292e+05 sec,3734.211861
2.295e+05 sec,3718.714408
2.298e+05 sec,3691.939685
2.301e+05 sec,3702.54788
2.304e+05 sec,2691.341765
2.307e+05 sec,3679.761098
2.31e+05 sec,3739.890579
2.313e+05 sec,3786.430846
2.316e+05 sec,3758.918708
2.319e+05 sec,3869.393974
2.322e+05 sec,3853.64275
2.325e+05 sec,3773.658742
2.328e+05 sec,3777.157948
2.331e+05 sec,3751.89597
2.334e+05 sec,3806.754219
2.337e+05 sec,3807.749333
2.34e+05 sec,3774.647628
2.343e+05 sec,3695.321793
2.346e+05 sec,3661.128373
2.349e+05 sec,3658.621352
2.352e+05 sec,3695.477448
2.355e+05 sec,3737.610441
2.358e+05 sec,3698.868366
2.361e+05 sec,3680.499286
2.364e+05 sec,3706.231355
2.367e+05 sec,3688.515149
2.37e+05 sec,3674.069586
2.373e+05 sec,3718.789285
2.376e+05 sec,3686.86441
2.379e+05 sec,3659.773505
2.382e+05 sec,3679.468897
2.385e+05 sec,3670.708204
2.388e+05 sec,3686.748138
2.391e+05 sec,3626.390256
2.394e+05 sec,3711.679795
2.397e+05 sec,3765.515293
2.4e+05 sec,3780.831001
2.403e+05 sec,3770.331145
2.406e+05 sec,3803.670763
2.409e+05 sec,3830.027215
2.412e+05 sec,3911.383039
2.415e+05 sec,3903.882148
2.418e+05 sec,3912.114469
2.421e+05 sec,3898.033895
2.424e+05 sec,3892.815468
2.427e+05 sec,3893.679786
2.43e+05 sec,3927.731542
2.433e+05 sec,3875.90952
2.436e+05 sec,3903.825548
2.439e+05 sec,3928.996721
2.442e+05 sec,3895.659371
2.445e+05 sec,3941.168805
2.448e+05 sec,3966.717036
2.451e+05 sec,3926.745931
2.454e+05 sec,3965.5418
2.457e+05 sec,3942.746741
2.46e+05 sec,3948.150917
2.463e+05 sec,3947.104156
2.466e+05 sec,3960.214538
2.469e+05 sec,3904.596294
2.472e+05 sec,3916.69107
2.475e+05 sec,3928.270899
2.478e+05 sec,3940.6472
2.481e+05 sec,3979.032089
2.484e+05 sec,3933.59429
2.487e+05 sec,3963.120574
2.49e+05 sec,3968.502655
2.493e+05 sec,3953.609193
2.496e+05 sec,3981.228561
2.499e+05 sec,3999.023615
2.502e+05 sec,3969.55412
2.505e+05 sec,3981.380532
2.508e+05 sec,3930.462438
2.511e+05 sec,3968.623998
2.514e+05 sec,3929.962423
2.517e+05 sec,3924.284274
2.52e+05 sec,3991.699928
2.523e+05 sec,3990.980862
2.526e+05 sec,3999.281931
2.529e+05 sec,3977.116653
2.532e+05 sec,3937.569473
2.535e+05 sec,3885.561117
2.538e+05 sec,3951.553664
2.541e+05 sec,3933.795165
2.544e+05 sec,3938.483876
2.547e+05 sec,3958.529405
2.55e+05 sec,3918.648266
2.553e+05 sec,3928.793654
2.556e+05 sec,3905.521443
2.559e+05 sec,3918.080334
2.562e+05 sec,3853.040523
2.565e+05 sec,3842.164971
2.568e+05 sec,3862.534774
2.571e+05 sec,3883.86583
2.574e+05 sec,3891.765473
2.577e+05 sec,3771.577633
2.58e+05 sec,3733.199559
2.583e+05 sec,3777.005595
2.586e+05 sec,3743.620167
2.589e+05 sec,3739.760786
2.592e+05 sec,3748.597043
2.595e+05 sec,3743.166335
2.598e+05 sec,3748.682431
2.601e+05 sec,3802.789514
2.604e+05 sec,3901.37266
2.607e+05 sec,3900.350593
2.61e+05 sec,3840.145024
2.613e+05 sec,3784.014186
2.616e+05 sec,3816.406859
2.619e+05 sec,2789.912653
2.622e+05 sec,3803.059671
2.625e+05 sec,3762.677633
2.628e+05 sec,3800.469881
2.631e+05 sec,3784.912366
2.634e+05 sec,3872.836632
2.637e+05 sec,3825.056798
2.64e+05 sec,3803.527706
2.643e+05 sec,3782.314036
2.646e+05 sec,3757.773795
2.649e+05 sec,3776.726159
2.652e+05 sec,3802.16157
2.655e+05 sec,3753.213507
2.658e+05 sec,5827.690539
2.661e+05 sec,5823.486122
2.664e+05 sec,5886.004471
2.667e+05 sec,5934.626589
2.67e+05 sec,5916.759307
2.673e+05 sec,5941.575408
2.676e+05 sec,5857.030726
2.679e+05 sec,5881.800727
2.682e+05 sec,5904.416807
2.685e+05 sec,5940.653484
2.688e+05 sec,5918.306882
2.691e+05 sec,5936.754732
2.694e+05 sec,5985.533982
2.697e+05 sec,5933.530359
2.7e+05 sec,5916.135433
2.703e+05 sec,5866.408784
2.706e+05 sec,5881.803719
2.709e+05 sec,5899.649322
2.712e+05 sec,5906.382555
2.715e+05 sec,5912.084827
2.718e+05 sec,5917.829781
2.721e+05 sec,5913.441927
2.724e+05 sec,5911.551266
2.727e+05 sec,5871.478981
2.73e+05 sec,5872.163079
2.733e+05 sec,5860.736585
2.736e+05 sec,5821.894866
2.739e+05 sec,5838.10678
2.742e+05 sec,5790.844027
2.745e+05 sec,5777.084345
2.748e+05 sec,5788.183503
2.751e+05 sec,5809.780048
2.754e+05 sec,5809.823464
2.757e+05 sec,5817.465254
2.76e+05 sec,5814.845757
2.763e+05 sec,5781.685664
2.766e+05 sec,5788.03095
2.769e+05 sec,5801.12307
2.772e+05 sec,5771.644564
2.775e+05 sec,5784.610947
2.778e+05 sec,5770.965493
2.781e+05 sec,5718.112839
2.784e+05 sec,5762.591034
2.787e+05 sec,5756.849519
2.79e+05 sec,5726.066781
2.793e+05 sec,5734.679012
2.796e+05 sec,5801.443797
2.799e+05 sec,5758.788115
2.802e+05 sec,5768.453463
2.805e+05 sec,5827.118259
2.808e+05 sec,5871.864997
2.811e+05 sec,3764.530989
2.814e+05 sec,5809.398588
2.817e+05 sec,5791.636633
2.82e+05 sec,5823.616357
2.823e+05 sec,5795.715868
2.826e+05 sec,5818.434384
2.829e+05 sec,5795.631093
2.832e+05 sec,5799.945606
2.835e+05 sec,5791.867944
2.838e+05 sec,5773.043184
2.841e+05 sec,5793.55904
2.844e+05 sec,5774.948619
2.847e+05 sec,5806.673489
2.85e+05 sec,5842.266995
2.853e+05 sec,5842.937453
2.856e+05 sec,5827.834181
2.859e+05 sec,5807.00647
2.862e+05 sec,5797.98979
2.865e+05 sec,5813.054057
2.868e+05 sec,5700.794
